version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,walk_bounds_hash,5,125620.548,121519.88,126718.405,127008,true
baseline-control,walk_bounds_hash,3,116205.464,115299.441,119888.889,127008,true
before,walk_bounds_hash,1,23756.925,23756.925,23756.925,43968,true
current,walk_bounds_hash,5,19262.212,18778.501,20413.193,7584,true
baseline,walk_bounds_large,5,46332.159,44619.444,55275.73,0,true
baseline-control,walk_bounds_large,3,43216.795,39370.778,44693.671,0,true
before,walk_bounds_large,1,21515.09,21515.09,21515.09,24768,true
current,walk_bounds_large,5,17226.511,16857.563,19025.514,0,true
baseline,walk_bounds_simple,5,995.84,968.223,1041.835,0,true
baseline-control,walk_bounds_simple,3,834.034,793.665,947.215,0,true
before,walk_bounds_simple,1,556.042,556.042,556.042,816,true
current,walk_bounds_simple,5,438.788,433.074,460.595,0,true
baseline,walk_tokens_comments,5,9056.016,8888.629,12664.599,1920,true
baseline-control,walk_tokens_comments,3,8354.083,6882.245,8917.472,1920,true
before,walk_tokens_comments,1,3638.948,3638.948,3638.948,5760,true
current,walk_tokens_comments,5,2039.228,1968.264,2085.301,192,true
baseline,walk_tokens_hash,5,249135.714,240855.814,321942.424,255456,true
baseline-control,walk_tokens_hash,3,234264.912,230314.286,256183.051,255456,true
before,walk_tokens_hash,1,49760.798,49760.798,49760.798,89376,true
current,walk_tokens_hash,5,37585.467,36211.911,44515.939,15936,true
baseline,walk_tokens_large,5,128026.241,127507.453,138655.556,25792,true
baseline-control,walk_tokens_large,3,116740.761,96387.727,120283.14,25792,true
before,walk_tokens_large,1,51164.341,51164.341,51164.341,75328,true
current,walk_tokens_large,5,37193.233,35649.412,46488.81,13504,true
baseline,walk_tokens_simple,5,2732.822,2670.233,2971.301,816,true
baseline-control,walk_tokens_simple,3,2278.424,2170.189,2446.373,816,true
before,walk_tokens_simple,1,1401.003,1401.003,1401.003,2448,true
current,walk_tokens_simple,5,939.682,927.319,965.797,576,true
