version,fork,shape,size,ns,bytes,count,equivalent
current,4,array_positional,256,4884.375,4264,256,true
current,4,join_mybatis,4,4933.496,6688,4,true
current,4,join_positional,4,3799.512,4056,4,true
current,4,deep_unary,1024,110162.500,145608,1,true
current,4,where_positional,16,6040.088,5728,16,true
current,4,json_constructor,1,1325.635,1384,1,true
current,4,no_parameters,0,1048.340,1232,0,true
current,4,array_mybatis,8192,844850,2158956,8192,true
current,4,join_named,4,3591.211,4440,4,true
current,4,deep_unary,4096,431900,576872,1,true
current,4,quoted_and_comments,2,1721.924,1592,2,true
current,4,array_mybatis,1024,104612.500,280920,1024,true
current,4,json_operator,1,1547.656,1528,1,true
current,4,where_named,16,5787.256,9680,16,true
current,4,where_positional,128,41373.389,39992,128,true
current,4,deep_unary,256,29059.375,37768,1,true
current,4,jdbc_escape,1,1515.918,1576,1,true
current,4,array_positional,1024,10512.500,15016,1024,true
current,4,where_positional,2,1413.232,1672,2,true
current,4,array_named,256,11937.500,26488,256,true
current,4,where_mybatis,2,2022.705,3024,2,true
current,4,array_positional,8192,67450,205588,8192,true
current,4,bare_concat,8192,389200,442596,8192,true
current,4,array_mybatis,4096,373950,1045932,4096,true
current,4,bare_concat,1024,54012.500,46488,1024,true
current,4,bare_concat,4096,197350,158120,4096,true
current,4,where_mybatis,16,10720.605,18040,16,true
current,4,array_mybatis,256,24656.250,58232,256,true
current,4,array_positional,4096,31100,58024,4096,true
current,4,where_named,2,1348.389,2080,2,true
current,4,deep_unary,8192,855400,1192868,1,true
current,4,cached_positional_same,2,12.262,0,2,true
current,4,cached_positional_equal,2,15.884,0,2,true
current,4,cached_named_same,2,11.748,0,2,true
current,4,cached_named_equal,2,15.725,0,2,true
current,5,deep_unary,1024,121112.500,145608,1,true
